Bones Hyland,Point Guard,Los Angeles Clippers,1,"2,201,520",7.6,4.7,289673.6842,NO,Up-And-Comer
Marcus Morris,Power Forward,Los Angeles Clippers,11,"16,372,093",7.4,7.5,2212445,NO,Scrub
Amir Coffey ,Shooting Guard,Los Angeles Clippers,3,"3,395,062",6.5,0.6,522317.2308,NO,Rotation Player
Eric Gordon,Shooting Guard,Los Angeles Clippers,14,"19,568,360",6,3.9,3261393.333,NO,Scrub
Nicolas Batum,Power Forward,Los Angeles Clippers,14,"8,856,969",5.6,7.9,1581601.607,NO,Rotation Player
Brandon Boston Jr.,Shooting Guard,Los Angeles Clippers,1,"1,563,518",3.6,-,434310.5556,NO,Project
Max Christie,Shooting Guard,Los Angeles Lakers,0,"1,017,781",-,0.2,#VALUE!,YES,Marginal Prospect
LeBron James ,Power Forward,Los Angeles Lakers,19,"44,474,988",21.8,26.4,2040137.064,NO,Borderline All-Star
Anthony Davis,Center,Los Angeles Lakers,10,"37,980,720",17.6,26.3,2157995.455,YES,Borderline All-Star
D'Angelo Russell ,Point Guard,Los Angeles Lakers,7,"31,377,750",17,11.9,1845750,NO,Good Starter
Jarred Vanderbilt ,Power Forward,Los Angeles Lakers,4,"4,374,000",10.9,7,401284.4037,NO,Up-And-Comer
Dennis Schroder,Point Guard,Los Angeles Lakers,9,"1,836,090",9,8.7,204010,NO,Rotation Player
Malik Beasley ,Shooting Guard,Los Angeles Lakers,6,"15,558,035",8.8,8.9,1767958.523,NO,Rotation Player
Austin Reaves ,Shooting Guard,Los Angeles Lakers,1,"925,258",7.3,9.3,126747.6712,NO,Rotation Player
Lonnie Walker IV ,Shooting Guard,Los Angeles Lakers,4,"6,479,000",6.5,4.9,996769.2308,NO,Project
Wenyen Gabriel,Power Forward,Los Angeles Lakers,3,"1,878,720",5.7,5.3,329600,YES,Scrub
Rui Hachimura,Power Forward,Los Angeles Lakers,3,"6,263,188",5.2,7.1,1204459.231,YES,Project
Mo Bamba,Center,Los Angeles Lakers,4,"10,300,000",4.5,6.6,2288888.889,NO,Rotation Player
Davon Reed,Shooting Guard,Los Angeles Lakers,3,"1,902,133",3.4,0.1,559450.8824,NO,Rotation Player
Troy Brown Jr.,Small Forward,Los Angeles Lakers,4,"1,836,090",3.1,5.5,592287.0968,NO,Rotation Player
Ja Morant ,Point Guard,Memphis Grizzles,3,"12,119,440",24,25.1,504976.6667,NO,All-Star
Desmond Bane,Shooting Guard,Memphis Grizzles,2,"2,130,240",17.8,21.8,119676.4045,NO,Future All-Star
Dillon Brooks ,Small Forward,Memphis Grizzles,5,"11,400,000",17.6,14.6,647727.2727,NO,Key Roleplayer
Jaren Jackson Jr ,Center,Memphis Grizzles,4,"28,946,605",16.1,21.1,1797925.776,NO,Up-And-Comer
Steven Adams ,Center,Memphis Grizzles,9,"17,926,829",14.9,16.7,1203142.886,NO,Key Roleplayer
Brandon Clarke ,Power Forward,Memphis Grizzles,3,"7,808,640",13.2,9.7,591563.6364,NO,Key Roleplayer
Tyus Jones ,Point Guard,Memphis Grizzles,7,"15,000,000",12.1,11.1,1239669.421,NO,Rotation Player
Luke Kennard ,Shooting Guard,Memphis Grizzles,5,"14,415,545",11.5,,1253525.652,NO,Starter
Ziaire Williams ,Small Forward,Memphis Grizzles,1,"4,591,680",7.2,,637733.3333,YES,Sixth Man
John Konchar ,Shooting Guard,Memphis Grizzles,3,"2,300,000",7,,328571.4286,NO,Sixth Man
Xavier Tillman Sr.,Power Forward,Memphis Grizzles,2,,4.1,,0,NO,
Santi Aldama,Power Forward,Memphis Grizzles,1,,3.3,,0,NO,
David Roddy,Power Forward,Memphis Grizzles,0,,-,,#VALUE!,YES,
Jake LaRavia,Power Forward,Memphis Grizzles,0,,-,,#VALUE!,YES,
Kennedy Chandler,Point Guard,Memphis Grizzles,0,,-,,#VALUE!,YES,
Jimmy Butler ,Small Forward,Miami Heat,11,"37,653,300",23.4,,1609115.385,NO,All-Star
Bam Adebayo ,Center,Miami Heat,5,"30,351,780",22.1,,1373383.71,NO,All-Star
Tyler Herro ,Shooting Guard,Miami Heat,3,"5,722,116",17.3,,330758.1503,NO,Starter
Kyle Lowry ,Point Guard,Miami Heat,16,"28,333,334",16.2,,1748971.235,NO,Starter
Kevin Love,Power Forward,Miami Heat,14,"28,942,830",12,15.3,2411902.5,NO,Starter
Caleb Martin ,Small Forward,Miami Heat,3,"6,479,000",10.3,,629029.1262,NO,Starter
Max Strus ,Small Forward,Miami Heat,3,"1,815,677",9.7,,187183.1959,NO,Starter
Victor Oladipo ,Shooting Guard,Miami Heat,9,"8,750,000",8.3,,1054216.867,NO,Fringe Starter
